,admin_action,case_origin,case_origin_circuit,case_source,case_source_circuit,cert_reason,court_direction_circuit_origin_mean,court_direction_circuit_origin_mean_10,court_direction_circuit_source_mean,court_direction_circuit_source_mean_10,court_direction_issue_mean,court_direction_issue_mean_10,court_direction_mean,court_direction_mean_10,court_direction_petitioner_mean,court_direction_petitioner_mean_10,court_direction_respondent_mean,court_direction_respondent_mean_10,current_court_agree_mean,current_court_agree_std,current_court_direction_circuit_origin_mean,current_court_direction_circuit_origin_std,current_court_direction_circuit_source_mean,current_court_direction_circuit_source_std,current_court_direction_issue_mean,current_court_direction_issue_mean_z,current_court_direction_issue_std,current_court_direction_mean,current_court_direction_petitioner_mean,current_court_direction_petitioner_std,current_court_direction_respondent_mean,current_court_direction_respondent_std,current_court_direction_std,diff_court_lc_direction,diff_court_lc_direction_abs,diff_court_lc_direction_abs_z,diff_court_lc_direction_z,diff_justice_court_direction,diff_justice_court_direction_abs,diff_justice_court_direction_issue,diff_justice_court_direction_issue_abs,diff_justice_court_direction_issue_z,diff_justice_court_direction_petitioner,diff_justice_court_direction_petitioner_abs,diff_justice_court_direction_respondent,diff_justice_court_direction_respondent_abs,diff_justice_court_direction_z,diff_justice_lc_direction,diff_justice_lc_direction_abs,diff_justice_lc_direction_abs_z,diff_justice_lc_direction_z,direction,docket,gender,is_chief,issue,issue_area,jurisdiction,justice,justice_agree_mean,justice_agree_mean_10,justice_direction_circuit_origin_mean,justice_direction_circuit_origin_mean_10,justice_direction_circuit_source_mean,justice_direction_circuit_source_mean_10,justice_direction_issue_mean,justice_direction_issue_mean_10,justice_direction_issue_mean_z,justice_direction_mean,justice_direction_mean_10,justice_direction_mean_z,justice_direction_petitioner_mean,justice_direction_petitioner_mean_10,justice_direction_respondent_mean,justice_direction_respondent_mean_10,law_type,lc_direction,lc_disagreement,lc_disposition,lower_court_direction_circuit_source_mean,lower_court_direction_circuit_source_mean_10,lower_court_direction_issue_mean,lower_court_direction_issue_mean_10,lower_court_direction_petitioner_mean,lower_court_direction_petitioner_mean_10,lower_court_direction_respondent_mean,lower_court_direction_respondent_mean_10,month_argument,month_decision,natural_court,outcome,party_president,petitioner,petitioner_dk,respondent,respondent_dk,segal_cover,year_of_birth,prediction,target,docket_vote_mean,docket_vote_sum,correct,year
0,117.0,50.0,9.0,29.0,9.0,12.0,1.0,-99.0,1.1428571428571428,-99.0,1.0,-99.0,1.2307692307692308,1.3,1.0,-99.0,1.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,1.0,2.0543919576822423,0.0,1.1776094276094276,1.0,0.0,1.0,0.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.31562627581533337,0.0,0.07239057239057245,0.07239057239057245,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,2.62236562814573,-0.75,0.75,0.3131305120901525,0.3113919728904085,1.0,2010-011-01,0,0,10020.0,1.0,1,105,0.8461538461538461,0.8,1.1666666666666667,-99.0,1.1666666666666667,-99.0,1.0,-99.0,2.1236760581595306,1.25,-99.0,0.3183174499528121,1.0,-99.0,1.0,-99.0,3.0,2.0,0.0,4.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,-99.0,1,1704,1,1,215.0,3.0,19.0,0.0,0.0,1936,1,1,1,9,True,2010
1,117.0,50.0,9.0,29.0,9.0,12.0,1.0,-99.0,1.1428571428571428,-99.0,1.0,-99.0,1.2307692307692308,1.3,1.0,-99.0,1.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,1.0,2.0024737177049317,0.0,1.1776094276094276,1.0,0.0,1.0,0.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.3139192470162629,0.0,-0.01094276094276081,0.01094276094276081,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,-0.3964041065801685,-0.8333333333333333,0.8333333333333333,0.31432545130870543,0.30678328303572566,1.0,2010-011-01,0,0,10020.0,1.0,1,106,0.9230769230769231,0.9,1.0,-99.0,1.0,-99.0,1.0,-99.0,2.067137848532568,1.1666666666666667,-99.0,0.313717157709582,1.0,-99.0,1.0,-99.0,3.0,2.0,0.0,4.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,-99.0,1,1704,1,1,215.0,3.0,19.0,0.0,0.365,1936,1,1,1,9,True,2010
2,117.0,50.0,9.0,29.0,9.0,12.0,1.0,-99.0,1.1428571428571428,-99.0,1.0,-99.0,1.2307692307692308,1.3,1.0,-99.0,1.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,1.0,1.9543100396540047,0.0,1.1776094276094276,1.0,0.0,1.0,0.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.31223964589126335,0.0,-0.01094276094276081,0.01094276094276081,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,-0.3964041065801685,-0.8333333333333333,0.8333333333333333,0.31264328218871407,0.3051485476288476,1.0,2010-011-01,0,0,10020.0,1.0,1,108,0.9230769230769231,0.9,1.0,-99.0,1.0,-99.0,1.0,-99.0,2.0148955113277287,1.1666666666666667,-99.0,0.3120388336098583,1.0,-99.0,1.0,-99.0,3.0,2.0,0.0,4.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,-99.0,1,1704,1,1,215.0,3.0,19.0,0.0,0.16,1948,1,1,1,9,True,2010
3,117.0,50.0,9.0,29.0,9.0,12.0,1.0,-99.0,1.1428571428571428,-99.0,1.0,-99.0,1.2307692307692308,1.3,1.0,-99.0,1.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,1.0,1.9094691341385215,0.0,1.1776094276094276,1.0,0.0,1.0,0.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.31058674508982176,0.0,-0.01094276094276081,0.01094276094276081,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,-0.3964041065801685,-0.8333333333333333,0.8333333333333333,0.3109878604860438,0.30353969353929927,1.0,2010-011-01,1,0,10020.0,1.0,1,109,0.9230769230769231,0.9,1.0,-99.0,1.0,-99.0,1.0,-99.0,1.9664311823725074,1.1666666666666667,-99.0,0.31038718642339513,1.0,-99.0,1.0,-99.0,3.0,2.0,0.0,4.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,-99.0,1,1704,1,0,215.0,3.0,19.0,0.0,0.68,1933,1,1,1,9,True,2010
4,117.0,50.0,9.0,29.0,9.0,12.0,1.0,-99.0,1.1428571428571428,-99.0,1.0,-99.0,1.2307692307692308,1.3,1.0,-99.0,1.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,1.0,1.86758567519153,0.0,1.1776094276094276,1.0,0.0,1.0,0.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.3089598440030197,0.0,-0.01094276094276081,0.01094276094276081,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,-0.3964041065801685,-0.8333333333333333,0.8333333333333333,0.30935848419190826,0.3019560444060499,1.0,2010-011-01,0,0,10020.0,1.0,1,110,0.9230769230769231,0.9,1.0,-99.0,1.0,-99.0,1.0,-99.0,1.921310377433476,1.1666666666666667,-99.0,0.30876151623692266,1.0,-99.0,1.0,-99.0,3.0,2.0,0.0,4.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,-99.0,1,1704,1,0,215.0,3.0,19.0,0.0,0.475,1938,1,1,1,9,True,2010
5,117.0,50.0,9.0,29.0,9.0,12.0,1.0,-99.0,1.1428571428571428,-99.0,1.0,-99.0,1.2307692307692308,1.3,1.0,-99.0,1.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,1.0,1.8283482006601324,0.0,1.1776094276094276,1.0,0.0,1.0,0.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.30735826751171125,0.0,-0.01094276094276081,0.01094276094276081,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,-0.3964041065801685,-0.8333333333333333,0.8333333333333333,0.30775447684417073,0.3003969483761554,1.0,2010-011-01,0,1,10020.0,1.0,1,111,0.9230769230769231,0.9,1.0,-99.0,1.0,-99.0,1.0,-99.0,1.879165490306427,1.1666666666666667,-99.0,0.307161148598687,1.0,-99.0,1.0,-99.0,3.0,2.0,0.0,4.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,-99.0,1,1704,1,1,215.0,3.0,19.0,0.0,0.12,1955,1,1,1,9,True,2010
6,117.0,50.0,9.0,29.0,9.0,12.0,1.0,-99.0,1.1428571428571428,-99.0,1.0,-99.0,1.2307692307692308,1.3,1.0,-99.0,1.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,1.0,1.7914893140245498,0.0,1.1776094276094276,1.0,0.0,1.0,0.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.3057813648056295,0.0,-0.01094276094276081,0.01094276094276081,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,-0.3964041065801685,-0.8333333333333333,0.8333333333333333,0.3061751863435422,0.29886177697391036,1.0,2010-011-01,0,0,10020.0,1.0,1,112,0.9230769230769231,0.9,1.0,-99.0,1.0,-99.0,1.0,-99.0,1.8396831146325585,1.1666666666666667,-99.0,0.30558543333900173,1.0,-99.0,1.0,-99.0,3.0,2.0,0.0,4.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,-99.0,1,1704,1,1,215.0,3.0,19.0,0.0,0.1,1950,1,1,1,9,True,2010
7,117.0,50.0,9.0,29.0,9.0,12.0,1.0,-99.0,1.1428571428571428,-99.0,1.0,-99.0,1.2307692307692308,1.3,1.0,-99.0,1.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,1.0,1.7567779800861578,0.0,1.1776094276094276,1.0,0.0,1.0,0.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.30422850826871956,0.0,0.004208754208754328,0.004208754208754328,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,0.15246311791544942,-0.8181818181818181,0.8181818181818181,0.3040808862908168,0.29789706824844514,1.0,2010-011-01,1,0,10020.0,1.0,1,113,0.8461538461538461,0.8,1.0,-99.0,1.0,-99.0,1.0,-99.0,1.8025941846107587,1.1818181818181819,-99.0,0.30457098740305605,1.0,-99.0,1.0,-99.0,3.0,2.0,0.0,4.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,-99.0,1,1704,1,0,215.0,3.0,19.0,0.0,0.78,1954,1,1,1,9,True,2010
8,117.0,50.0,9.0,29.0,9.0,12.0,1.0,-99.0,1.1428571428571428,-99.0,1.0,-99.0,1.2307692307692308,1.3,1.0,-99.0,1.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,1.0,1.7240134054647671,0.0,1.1776094276094276,1.0,0.0,1.0,0.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.30269909242634857,0.0,-0.01094276094276081,0.01094276094276081,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,-0.3964041065801685,-0.8333333333333333,0.8333333333333333,0.303093796569627,0.2958552098996401,1.0,2010-011-01,1,0,10020.0,1.0,1,114,0.46153846153846156,0.5,1.0,-99.0,1.0,-99.0,1.0,-99.0,1.7676662226347697,1.1666666666666667,-99.0,0.30249996014996333,1.0,-99.0,1.0,-99.0,3.0,2.0,0.0,4.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,2.0,-99.0,-99.0,1,1704,1,0,215.0,3.0,19.0,0.0,0.73,1960,1,1,1,9,True,2010
0,54.0,48.0,9.0,29.0,9.0,2.0,1.0,-99.0,1.1428571428571428,-99.0,-99.0,-99.0,1.2307692307692308,1.3,-99.0,-99.0,-99.0,-99.0,0.8547008547008548,0.15115161695579002,1.0185185185185186,0.05555555555555168,1.0185185185185186,0.05555555555555168,-99.0,-0.5711807793144941,-99.0,1.1776094276094276,-99.0,-99.0,-99.0,-99.0,0.027605064531669474,-0.8223905723905724,0.8223905723905724,0.3011925329503738,0.0,0.07239057239057245,0.07239057239057245,-99.0,-99.0,-98.0,-99.0,-99.0,-99.0,-99.0,2.62236562814573,-0.75,0.75,0.2985939759838881,0.29742394500416197,1.0,2010-012-01,0,0,80170.0,8.0,1,105,0.8461538461538461,0.8,1.1666666666666667,-99.0,1.1666666666666667,-99.0,-99.0,-99.0,-0.5571168021193709,1.25,-99.0,0.3039751778958827,-99.0,-99.0,-99.0,-99.0,3.0,2.0,1.0,6.0,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,12.0,1,1704,1,1,113.0,1.0,138.0,0.0,0.0,1936,1,1,1,9,True,2010
