,docket,year,issue,issue_area,case_source_circuit,case_origin_circuit,lc_direction,lc_disposition,overturn_count_predict,overturn_count_actual,overturn_predict,overturn_actual,justice_1,justice_2,justice_3,justice_4,justice_5,justice_6,justice_7,justice_8,justice_9,justice_1_dir,justice_2_dir,justice_3_dir,justice_4_dir,justice_5_dir,justice_6_dir,justice_7_dir,justice_8_dir,justice_9_dir,justice_chief,correct
0,2013-012-01,2013,90090.0,9.0,5,5,1.0,6.0,0.16060322771364433,0.0,False,False,0.16723749999999996,0.16651249999999998,0.16644583333333327,0.15452232142857136,0.16544462481962477,0.16548591269841267,0.15769126984126985,0.15131121031746028,0.15077787698412692,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.5454545454545454,1.5454545454545454,1.5454545454545454,0.16544462481962477,True
1,2013-013-01,2013,90480.0,9.0,1,1,2.0,11.0,0.42170060325476993,1.0,False,True,0.4429692550505052,0.4379400883838385,0.4423756042568544,0.39992712842712835,0.43971727092352114,0.440876794733045,0.41070648448773445,0.3911214015151513,0.3896714015151514,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.5,1.5,1.5,0.43971727092352114,False
2,2013-014-01,2013,80180.0,8.0,13,3,2.0,3.0,0.24374527817861147,0.0,False,False,0.25803037518037514,0.2544637085137085,0.25781231962481954,0.23071231962481956,0.25476648629148624,0.25530398629148626,0.23624366883116876,0.2235789862914862,0.2227956529581529,1.3846153846153846,1.3846153846153846,1.3846153846153846,1.3846153846153846,1.3846153846153846,1.3846153846153846,1.4615384615384615,1.4615384615384615,1.4615384615384615,0.25476648629148624,True
3,2013-015-01,2013,10510.0,1.0,8,8,1.0,2.0,0.03797585277376944,1.0,False,True,0.04054064754689755,0.03995314754689755,0.04014064754689755,0.03514997294372294,0.04013685966810966,0.039519814213564215,0.03690413961038961,0.03497497294372295,0.03446247294372294,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.5,1.5,1.5,0.04013685966810966,False
4,2013-016-01,2013,70040.0,7.0,7,7,1.0,2.0,0.17849461179252837,0.0,False,False,0.19279522005771998,0.19024879148629142,0.1912062319624819,0.1665001803751803,0.18819053932178925,0.18840682720057714,0.17078093434343428,0.15949402958152947,0.15882875180375172,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.5,1.5,1.5,0.18819053932178925,True
5,2013-017-01,2013,30030.0,3.0,0,0,1.0,2.0,0.06284564393939393,0.6666666666666666,False,True,0.06564553571428572,0.06522886904761904,0.06603244047619047,0.05935922619047618,0.06557031926406927,0.06569910714285715,0.06128303571428569,0.058558630952380945,0.05823363095238094,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.5,1.5,1.5,0.06557031926406927,False
6,2013-018-01,2013,20350.0,2.0,0,0,1.0,2.0,0.04985506854256854,1.0,False,True,0.05100605158730159,0.05060605158730159,0.050762301587301585,0.048818849206349206,0.05086268037518037,0.05076646825396826,0.048339682539682544,0.04886051587301587,0.048673015873015875,1.411764705882353,1.411764705882353,1.4705882352941178,1.4705882352941178,1.4705882352941178,1.4705882352941178,1.4705882352941178,1.5294117647058822,1.5294117647058822,0.05086268037518037,False
7,2013-019-01,2013,10120.0,1.0,11,11,1.0,2.0,0.18529442139650473,0.3333333333333333,False,False,0.19427296176046174,0.19294796176046178,0.19711462842712843,0.19427534271284272,0.17428784271284267,0.1913879238816739,0.167473556998557,0.18219161255411254,0.17369796176046176,1.4,1.4,1.45,1.45,1.5,1.5,1.5,1.55,1.6,0.1913879238816739,True
8,2013-020-01,2013,10050.0,1.0,0,0,1.0,9.0,0.04881948653198653,0.3333333333333333,False,False,0.04844444444444444,0.04844444444444444,0.04984027777777778,0.0497,0.04802777777777778,0.04932121212121212,0.04741666666666667,0.04928472222222223,0.04889583333333333,1.4,1.4,1.45,1.45,1.5,1.5,1.5,1.55,1.6,0.04932121212121212,True
9,2013-021-01,2013,40060.0,4.0,9,9,2.0,3.0,0.08128626543209877,0.0,False,False,0.08724146825396828,0.08638730158730161,0.0851748015873016,0.08497896825396828,0.07573333333333332,0.08331230158730162,0.07346666666666665,0.07924464285714285,0.07603690476190474,1.4,1.4,1.45,1.45,1.5,1.5,1.5,1.55,1.6,0.08331230158730162,True
10,2013-022-01,2013,80120.0,8.0,5,5,2.0,2.0,0.07297649102440769,0.2222222222222222,False,False,0.07588408882783883,0.07588408882783883,0.07560908882783883,0.07560908882783883,0.06973091422466422,0.07390075549450549,0.06841841422466421,0.07150932331557333,0.07024265664890665,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.5454545454545454,1.5454545454545454,1.5454545454545454,1.5909090909090908,1.6363636363636365,0.07390075549450549,True
11,2013-023-01,2013,10570.0,1.0,9,9,2.0,3.0,0.024877960157126826,1.0,False,True,0.02669570707070707,0.02669570707070707,0.026320707070707074,0.026320707070707074,0.022569318181818183,0.02561237373737374,0.02195265151515152,0.02450681818181818,0.023227651515151517,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.5454545454545454,1.5454545454545454,1.5454545454545454,1.5909090909090908,1.6363636363636365,0.02561237373737374,False
12,2013-024-01,2013,50040.0,5.0,1,1,1.0,3.0,0.16819328503286837,0.6666666666666666,False,True,0.17502787698412697,0.17434037698412694,0.17811537698412694,0.17700287698412695,0.16157281746031746,0.1748115891053391,0.15717281746031747,0.16056884920634923,0.15512698412698417,1.4166666666666667,1.4166666666666667,1.4583333333333333,1.4583333333333333,1.5416666666666667,1.5416666666666667,1.5416666666666667,1.5833333333333333,1.5833333333333333,0.1748115891053391,False
13,2013-025-01,2013,80030.0,8.0,9,9,1.0,2.0,0.09258417207792208,1.0,False,True,0.09650661976911977,0.09548161976911977,0.09663161976911977,0.09623161976911977,0.08884302849927848,0.09554241522366523,0.08598886183261181,0.09057282647907648,0.08745893759018758,1.4166666666666667,1.4166666666666667,1.4583333333333333,1.4583333333333333,1.5416666666666667,1.5416666666666667,1.5416666666666667,1.5833333333333333,1.5833333333333333,0.09554241522366523,False
14,2013-026-01,2013,20170.0,2.0,2,2,2.0,2.0,0.06631015211640212,0.0,False,False,0.06799255952380952,0.06761755952380952,0.06770089285714286,0.06749255952380952,0.06381755952380953,0.0633467261904762,0.06634255952380952,0.0674842261904762,0.06499672619047618,1.4444444444444444,1.4814814814814814,1.4814814814814814,1.4814814814814814,1.5555555555555556,1.5555555555555556,1.5925925925925926,1.5925925925925926,1.5925925925925926,0.0674842261904762,True
15,2013-027-01,2013,80160.0,8.0,12,12,2.0,3.0,0.2702011062240229,0.7777777777777778,False,True,0.2882475267787768,0.29064207042957046,0.28768790376290376,0.2903141934454435,0.2521750790875791,0.2377974005161505,0.25834465881340873,0.28455239690864687,0.24204872627372626,1.4444444444444444,1.4814814814814814,1.4814814814814814,1.4814814814814814,1.5555555555555556,1.5555555555555556,1.5925925925925926,1.5925925925925926,1.5925925925925926,0.28455239690864687,False
16,2013-028-01,2013,10510.0,1.0,10,10,1.0,2.0,0.37205632261257265,0.7777777777777778,False,True,0.39486764416139414,0.3995191322566324,0.3943705211455212,0.3970316322566323,0.34605875166500183,0.3306498230935731,0.3570639735264736,0.3949914356476857,0.33395398976023977,1.4444444444444444,1.4814814814814814,1.4814814814814814,1.4814814814814814,1.5555555555555556,1.5555555555555556,1.5925925925925926,1.5925925925925926,1.5925925925925926,0.3949914356476857,False
17,2013-029-01,2013,140010.0,14.0,10,10,1.5,2.0,0.1699197360509861,1.0,False,True,0.17718999819624823,0.178291783910534,0.17950428391053394,0.17815011724386728,0.16054787157287156,0.1555544191919192,0.1650103715728716,0.17615769300144304,0.15887108585858592,1.4285714285714286,1.4642857142857142,1.5,1.5,1.5714285714285714,1.5714285714285714,1.6071428571428572,1.6071428571428572,1.6071428571428572,0.17615769300144304,False
18,2013-030-01,2013,90260.0,9.0,6,6,2.0,3.0,0.06547315716690716,0.0,False,False,0.06822172619047617,0.06809672619047617,0.06799672619047618,0.06808005952380952,0.06206471861471863,0.06058555194805195,0.06421471861471863,0.06742930194805194,0.06256888528138528,1.4482758620689655,1.4827586206896552,1.5172413793103448,1.5172413793103448,1.5862068965517242,1.5862068965517242,1.6206896551724137,1.6206896551724137,1.6206896551724137,0.06742930194805194,True
19,2013-031-01,2013,120010.0,12.0,6,6,1.0,2.0,0.14967205988455987,1.0,False,True,0.15399803391053388,0.15536142676767672,0.15652809343434343,0.15598642676767677,0.14301334776334773,0.13929787157287157,0.14619549062049061,0.15496997655122652,0.14169787157287156,1.4482758620689655,1.4827586206896552,1.5172413793103448,1.5172413793103448,1.5862068965517242,1.5862068965517242,1.6206896551724137,1.6206896551724137,1.6206896551724137,0.15496997655122652,False
20,2013-032-01,2013,10380.0,1.0,6,6,2.0,2.0,0.11517538780663777,1.0,False,True,0.1202433441558441,0.12107251082251078,0.12118709415584411,0.12091626082251078,0.1036555465367965,0.10947637987012983,0.11231387987012983,0.11865792748917744,0.1090555465367965,1.4666666666666666,1.5,1.5333333333333334,1.5333333333333334,1.5862068965517242,1.6,1.6333333333333333,1.6333333333333333,1.6333333333333333,0.11865792748917744,False
21,2013-033-01,2013,30140.0,3.0,12,12,2.0,9.0,0.11927076919993583,0.5555555555555556,False,True,0.12836884018759018,0.1302980068542568,0.1312771735209235,0.12900217352092347,0.10370227272727268,0.10916477272727267,0.12488342352092349,0.11177965367965363,0.104960606060606,1.4375,1.46875,1.5,1.5,1.5806451612903225,1.59375,1.59375,1.625,1.625,0.12488342352092349,False
22,2013-034-01,2013,100020.0,10.0,9,9,1.0,4.0,0.07304568101651436,1.0,False,True,0.07609669913419913,0.07716614357864358,0.07694114357864358,0.0763994769119769,0.06562193362193364,0.06968304473304474,0.07694215367965368,0.07096776695526695,0.06759276695526695,1.4375,1.46875,1.5,1.5,1.5806451612903225,1.59375,1.59375,1.625,1.625,0.07694215367965368,False
